location,year,val
Democratic Republic of the Congo,2017,4.607376038
Morocco,2017,13.75121161
Palau,2017,47.71025358
Uzbekistan,2017,7.77637215
Sudan,2017,3.58153932
Grenada,2017,14.550227
El Salvador,2018,9.625784143
Samoa,2017,7.507906948
Canada,2018,81.77277999
Rwanda,2017,3.439655439
Spain,2018,63.86556314
China,2018,56.19665063
Bhutan,2017,5.206733746
Benin,2018,3.789687828
Equatorial Guinea,2017,5.29430961
Cook Islands,2018,39.35030752
Vanuatu,2017,13.73891009
Libya,2017,12.67182825
Iran (Islamic Republic of),2018,9.994276529
Cyprus,2018,38.78383142
Serbia,2017,87.88075138
Liberia,2017,3.487424859
Somalia,2017,1.818373509
Palestine,2017,9.882859576
India,2018,6.066131278
Norway,2017,55.29284175
Seychelles,2017,17.26623948
Guatemala,2018,4.785493544
Burundi,2017,2.573702776
Brunei Darussalam,2017,24.48122507
Albania,2017,40.63789559
Finland,2018,55.7964093
Gabon,2017,11.11162435
Jamaica,2018,20.16992395
Burkina Faso,2017,3.814787189
Zimbabwe,2017,6.601697431
Finland,2017,55.53062227
Syrian Arab Republic,2018,9.287968561
Oman,2017,3.330701507
Mali,2017,2.743851629
Denmark,2018,85.1184214
Saint Kitts and Nevis,2017,10.49037984
Nigeria,2018,2.755843242
France,2017,68.389736
Sri Lanka,2017,11.08098862
South Sudan,2017,3.410389933
Saint Lucia,2018,14.68340627
Comoros,2017,4.85305033
Kuwait,2017,4.750666007
Slovakia,2018,56.5148897
Tunisia,2018,20.74286337
United States of America,2017,73.02407095
Algeria,2017,7.272141542
Estonia,2018,55.19840964
Philippines,2018,12.01878986
Netherlands,2017,86.65600538
Portugal,2017,44.06845226
Pakistan,2018,8.130615963
Cook Islands,2017,38.30130856
Fiji,2017,7.657253196
Cambodia,2018,16.81889977
Honduras,2018,13.71131312
Benin,2017,3.79128191
France,2018,67.82065138
Saint Vincent and the Grenadines,2018,11.89323355
Cameroon,2017,5.257258045
United Republic of Tanzania,2017,3.601710423
Suriname,2018,15.53595972
Belgium,2017,76.1421909
Eswatini,2017,8.80655525
Turkey,2018,35.67814768
Republic of Korea,2017,54.83946666
Latvia,2018,52.5158087
Mauritania,2017,5.228514906
Nauru,2018,14.40888132
Germany,2017,74.07729571
San Marino,2017,67.40109262
Djibouti,2017,4.748721069
Iran (Islamic Republic of),2017,9.697279127
Ethiopia,2018,1.971118104
Bahamas,2018,14.76853197
Cabo Verde,2017,10.48652843
Uganda,2017,2.343418273
Spain,2017,64.06647776
United Kingdom,2017,74.24481955
Trinidad and Tobago,2018,13.56028713
Thailand,2017,29.62121982
Iraq,2018,9.502962802
Niger,2017,2.81112097
Singapore,2017,34.45838519
Indonesia,2018,18.00168183
Sierra Leone,2018,4.31564152
Kenya,2018,2.281741971
Gambia,2018,3.039862447
Lebanon,2018,27.38460539
Nicaragua,2018,5.41371954
Mexico,2017,7.965706794
Lao People's Democratic Republic,2018,13.16067125
Georgia,2018,48.29966719
Barbados,2018,15.13385168
Suriname,2017,15.12226754
Croatia,2018,80.22944272
South Sudan,2018,3.418609609
Ghana,2018,4.309929909
North Macedonia,2018,61.48902683
Timor-Leste,2017,11.81015088
Malaysia,2018,15.92628116
Togo,2018,4.84108656
Lesotho,2018,11.02899787
Lithuania,2018,50.17120245
Panama,2018,10.44820158
Poland,2017,76.4206232
United Arab Emirates,2018,5.324237818
Libya,2018,13.16860036
Jordan,2018,7.640263293
Andorra,2017,63.72814841
Kazakhstan,2018,20.96587232
Guinea,2018,4.421819851
Republic of Moldova,2018,29.2458574
Montenegro,2018,90.05932077
Czechia,2018,65.31815292
Democratic People's Republic of Korea,2017,33.32943026
Belize,2018,8.776341551
Namibia,2018,4.378495295
Yemen,2018,4.11564398
Malawi,2018,2.232422159
New Zealand,2018,54.854359
Central African Republic,2018,5.389955967
Kiribati,2018,11.34023185
Colombia,2017,12.58393191
Austria,2017,58.32379986
Kuwait,2018,4.945966522
Democratic People's Republic of Korea,2018,33.90889196
Kyrgyzstan,2018,8.497237864
Hungary,2018,100.4462238
Cuba,2018,60.28676629
Botswana,2017,12.18490714
Angola,2017,5.012483535
Costa Rica,2017,9.844874313
Italy,2018,68.67896725
Marshall Islands,2018,17.16571567
