name,time,case_per_t,t0_year,year_num,treated,d_case_per_t
Slovakia,2006,45.743817203400525,0,-6,0,NA
Slovakia,2018,56.5148897,0,6,0,10.771072496599473
Slovenia,2006,61.840639244833234,0,-6,0,NA
Slovenia,2018,66.76943881,0,6,0,4.928799565166763
Solomon Islands,2006,7.70756164178546,0,-6,0,NA
Solomon Islands,2018,15.34192763,0,6,0,7.63436598821454
Somalia,2006,1.2906098010535954,0,-6,0,NA
Somalia,2018,1.811545317,0,6,0,0.5209355159464046
South Africa,2006,11.4800402825653,0,-6,0,NA
South Africa,2018,15.43559395,0,6,0,3.9555536674346996
South Sudan,2006,1.8281593447763598,0,-6,0,NA
South Sudan,2018,3.418609609,0,6,0,1.5904502642236404
Spain,2004,52.004064592208714,2010,-6,1,NA
Spain,2016,54.281443820464744,2010,6,1,2.277379228256031
Sri Lanka,2006,5.841040533302816,0,-6,0,NA
Sri Lanka,2018,11.16224271,0,6,0,5.3212021766971835
Sudan,2006,4.496929804170474,0,-6,0,NA
Sudan,2018,3.663659316,0,6,0,-0.833270488170474
Suriname,2008,10.388264278062042,2014,-6,1,NA
Suriname,2020,19.9,2014,6,1,9.511735721937956
Sweden,2006,40.927459430945746,0,-6,0,NA
Sweden,2018,42.60784616,0,6,0,1.6803867290542556
Switzerland,2006,49.48974696997595,0,-6,0,NA
Switzerland,2018,49.70515588,0,6,0,0.2154089100240526
Syrian Arab Republic,2006,3.6286829019620224,0,-6,0,NA
Syrian Arab Republic,2018,9.287968561,0,6,0,5.659285659037977
Thailand,2004,22.356092408708363,2010,-6,1,NA
Thailand,2016,28.72437704643958,2010,6,1,6.368284637731218
Timor-Leste,2006,4.614157099751387,0,-6,0,NA
Timor-Leste,2018,11.85258986,0,6,0,7.238432760248613
Togo,2006,2.9644894628225016,0,-6,0,NA
Togo,2018,4.84108656,0,6,0,1.8765970971774983
Trinidad and Tobago,2004,9.532483538289222,2010,-6,1,NA
Trinidad and Tobago,2016,11.657543066995848,2010,6,1,2.1250595287066254
Tunisia,2006,15.178099933429474,0,-6,0,NA
Tunisia,2018,20.74286337,0,6,0,5.564763436570525
Turkmenistan,2004,4.978105181872842,2010,-6,1,NA
Turkmenistan,2016,5.574519931668201,2010,6,1,0.5964147497953585
Ukraine,2006,41.99668691311874,0,-6,0,NA
Ukraine,2018,45.20646471,0,6,0,3.209777796881262
